ID,id_rechov,me_k_rechov,me_shem_rechov,ad_k_rechov,ad_shem_rechov,tr_from,tr_to,k_sug,t_sug,k_sgira,shaot,sw_laila
425,4144,200,הרברט סמואל,410,הכובשים,18/04/2021 0:00,30/05/2021 0:00,1,שיפור תשתיות מדרכות וכביש,2,09:00-17:00 ,0
426,4355,204,בן גוריון,99,גורדון יהודה ליב,21/07/2022 0:00,26/07/2022 0:00,10,שיפור תשתיות,2,07:00-07:00 ביצוע אספלט ומדרכות - מח' דרכים,0
427,4451,88,פינסקר,112,גאולה,13/02/2023 0:00,29/06/2023 0:00,21,"נת""ע – הרכבת הקלה",2,,0
428,2507,496,אבן גבירול,800,נמיר מרדכי,13/11/2018 0:00,13/11/2018 0:00,5,ארוע,2,18:00-00:00 מרוץ לילה,1
429,1811,0,0,0,0,15/05/2017 0:00,31/05/2017 0:00,1,שיפור תשתיות מדרכות וכביש,2,09:00-17:00 ,0
430,97,27,הירקון,200,הרברט סמואל,27/11/2011 0:00,30/05/2012 0:00,1,שיפור תשתיות מדרכות וכביש,1,07:00-07:00 סגור מבית מס' 3  עד הירקון,0
431,1879,477,בני דן,478,פנקס דוד צבי,24/04/2017 0:00,01/11/2017 0:00,1,שיפור תשתיות מדרכות וכביש,1,07:00-19:00 ,0
432,4441,4012,ברכיה,4018,חנוך,12/01/2023 0:00,12/12/2023 0:00,10,שיפור תשתיות,2,07:00-07:00 פיתוח רחוב זרח חברת חלמיש,0
433,873,2171,רמבה אייזיק,0,0,26/01/2015 0:00,26/01/2015 0:00,5,ארוע,1,18:00-23:00 חסימת הפניה שמאלה משד' רוקח ממערב לאייזיק רמבה,1
434,1474,205,"כ""ג יורדי הסירה",197,נורדאו,18/06/2016 0:00,18/06/2016 0:00,5,ארוע,2,04:00-13:00 אירוע טריאתלון 18.6 יום שבת בין השעות 04:00 עד 13:00,1
435,2645,677,פישמן מימון,679,בצלאל,20/05/2019 0:00,22/05/2019 0:00,25,הריסת בנין ,2,09:00-15:00 ,0
436,317,161,ברנט,154,"חברת ש""ס",02/12/2012 0:00,02/03/2013 0:00,1,שיפור תשתיות מדרכות וכביש,2,07:00-19:00 ,0
437,2354,435,הכנסת,54,בגין מנחם,28/06/2018 0:00,29/06/2018 0:00,5,ארוע,2,21:00-05:00 ארוע לילה לבן-חסימה לפי הצורך,1
438,2751,3311,קבוץ גלויות,3725,היינה היינריך,18/10/2019 0:00,18/10/2019 0:00,5,ארוע,2,"04:00-13:00 סובב ת""א סובב אופניים",1
439,1748,941,לבנון חיים,2065,"וייז ג'ורג' ד""ר",22/03/2017 0:00,22/03/2017 0:00,5,ארוע,2,19:00-21:00 מרוץ האוניברסיטה,1
440,666,54,בגין מנחם,435,הכנסת,26/06/2014 0:00,27/06/2014 0:00,5,ארוע,2,21:00-05:00 לילה לבן,1
441,2969,135,השחר,4,אלנבי,31/05/2020 0:00,18/06/2020 0:00,4,קרצוף וסלילה,2,22:00-05:00 תחבורה ציבורית תתנהל כסדרה,1
442,771,472,ויצמן,25,בן יהודה,28/10/2014 0:00,28/10/2014 0:00,5,ארוע,2,17:30-23:30 ,1
443,1953,18,שינקין מנחם,343,"תרס""ט",31/10/2017 0:00,31/10/2017 0:00,5,ארוע,2,19:00-00:30 אירוע מרוץ לילה 2017 ב- 31.10 יום ג' משעה 19:00 עד 00:30.,1
